Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Volume
Nifty 50,20191107,12021.1,12021.4,11946.85,12012.05,562963817
Nifty Next 50,20191107,28673.15,28735.6,28579.2,28686.25,482454082
Nifty 100,20191107,12160.25,12161.6,12090.35,12152.95,1050826641
Nifty 200,20191107,6194.1,6194.85,6160,6190.7,1445361499
Nifty 500,20191107,9768.9,9771.3,9718.25,9764.3,1686471088
Nifty Midcap 50,20191107,4627.55,4635.3,4604.8,4630.6,362155129
NIFTY Midcap 100,20191107,16797.65,16809.8,16717.2,16796,394534858
NIFTY Smallcap 100,20191107,5768.2,5783.15,5749.05,5761.65,137596354
Nifty50 Dividend Points,20191107,-,-,-,117.35,-
Nifty Auto,20191107,8273.75,8276.25,8164.9,8239.9,81620633
Nifty Bank,20191107,30722.6,30821.35,30462.55,30633.15,364819481
Nifty Energy,20191107,16255.6,16277.15,16108.9,16194.65,68171922
Nifty Financial Services,20191107,13908.6,13936.4,13828,13894.9,200536511
Nifty FMCG,20191107,32587.8,32608.05,32340.75,32535.9,30953761
Nifty IT,20191107,15635.5,15639.7,15532.15,15624.4,24251273
Nifty Media,20191107,1840.85,1852.9,1820,1839.2,43595124
Nifty Metal,20191107,2645.35,2677.85,2596.7,2659.05,209561002
Nifty MNC,20191107,14161.7,14164.7,14053.75,14141.8,215756918
Nifty Pharma,20191107,7942.3,7982,7871,7966,43836719
Nifty PSU Bank,20191107,2529.65,2548.4,2478.2,2484.1,125978743
Nifty Realty,20191107,282.6,282.6,275.2,276.45,28105589
Nifty India Consumption,20191107,5130,5132.15,5094.75,5123.25,79542949
Nifty Commodities,20191107,3467.1,3468.4,3433,3452.85,265389461
Nifty Dividend Opportunities 50,20191107,2650.25,2650.4,2628.35,2639.5,274140587
Nifty Infrastructure,20191107,3299.95,3301.9,3274,3286.85,141525428
Nifty PSE,20191107,3416.9,3417.45,3368.2,3374.8,146534597
Nifty Services Sector,20191107,16839.25,16860.55,16746.8,16813.65,472392586
Nifty50 Shariah,20191107,-,-,-,2543.56,81835323
Nifty500 Shariah,20191107,-,-,-,3023.19,305655844
Nifty Low Volatility 50,20191107,-,-,-,10697.04,124322043
Nifty Alpha 50,20191107,12904.15,12905.65,12824.7,12880.45,127763070
Nifty High Beta 50,20191107,-,-,-,1360.41,1037836296
Nifty100 Equal Weight,20191107,13454.95,13460.5,13355.25,13412.7,1050826641
Nifty100 Liquid 15,20191107,3782.05,3796.8,3746.2,3776.5,477912057
Nifty CPSE,20191107,2040.85,2042.45,2014.9,2023.2,113741786
Nifty50 Value 20,20191107,5567.55,5567.8,5515.75,5547.4,336915525
Nifty Midcap Liquid 15,20191107,3921.9,3928.15,3901,3917.5,56804799
Nifty Shariah 25,20191107,-,-,-,4496.1,79527578
India VIX,20191107,15.775,15.9225,13.525,15.21,-
Nifty Growth Sectors 15,20191107,6408.55,6423.25,6374.95,6415,73302438
Nifty50 TR 1x Inverse,20191107,339.35,341.5,339.35,339.65,-
Nifty50 TR 2x Leverage,20191107,6761.5,6761.5,6678.65,6751.35,-
Nifty50 PR 1x Inverse,20191107,386.9,389.3,386.9,387.15,-
Nifty50 PR 2x Leverage,20191107,5201.9,5201.9,5138.15,5194.1,-
NIFTY100 Quality 30,20191107,2782.1,2789.75,2767.9,2786.8,174788732
Nifty 50 Futures TR Index,20191107,-,-,-,12117.37,-
Nifty 50 Arbitrage,20191107,-,-,-,1868.77,-
NIFTY50 Equal Weight,20191107,12509.15,12510,12392.45,12460.9,562963817
Nifty100 Low Volatility 30,20191107,9145.1,9151.7,9091.35,9141.1,102859093
NIFTY Alpha Low-Volatility 30,20191107,-,-,-,12213.85,125653091
NIFTY Quality Low-Volatility 30,20191107,-,-,-,8708.01,86105260
NIFTY Alpha Quality Low-Volatility 30,20191107,-,-,-,9910.48,92009414
